Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",94.500000,-103.000000,0.000000,top
"J2","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",104.500000,-103.000000,0.000000,top
"J3","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",112.000000,-103.000000,0.000000,top
"J4","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",122.000000,-103.000000,0.000000,top
"J5","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",132.250000,-103.000000,0.000000,top
"J6","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",142.250000,-103.000000,0.000000,top
"J7","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",149.750000,-103.000000,0.000000,top
"J8","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",159.750000,-103.000000,0.000000,top
"J9","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",170.000000,-103.000000,0.000000,top
"J10","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",180.000000,-103.000000,0.000000,top
"J11","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",187.500000,-103.000000,0.000000,top
"J12","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",197.500000,-103.000000,0.000000,top
"J13","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",142.250000,-67.500000,0.000000,top
"J14","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",132.250000,-67.500000,0.000000,top
"J15","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",122.000000,-67.500000,0.000000,top
"J16","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",112.000000,-67.500000,0.000000,top
"J17","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",104.500000,-67.500000,0.000000,top
"J18","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",94.500000,-67.500000,0.000000,top
"J19","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",197.500000,-67.500000,0.000000,top
"J20","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",187.500000,-67.500000,0.000000,top
"J21","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",180.000000,-67.500000,0.000000,top
"J22","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",170.000000,-67.500000,0.000000,top
"J23","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",159.750000,-67.500000,0.000000,top
"J24","Conn_01x01_MountingPin","PinHeader_1x01_D2.54mm_Vertical_PogoPin",149.750000,-67.500000,0.000000,top
